engine,tp,sl,filter,train_n,train_final,train_multiple,train_dd,train_wr,train_pos_years,modern_final,modern_dd,train_score,retain_train
B,6,10,TPspread+close,251,99.55300000000034,0.33184333333333443,0.6965402670243231,0.549800796812749,1,282.25600000000213,0.6854600203223464,-1000000000.0,0.6556016597510373
B,6,12,ALL,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,110.48200000000202,0.7149028189221779,-1000000000.0,1.0
B,6,12,spread<=0.5,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,216.88100000000236,0.640125514806821,-1000000000.0,0.9522821576763485
B,6,12,spread<=0.75,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,111.04600000000187,0.7134474251917255,-1000000000.0,0.9813278008298755
B,6,12,spread<=1.0,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,223.07700000000273,0.6374882587917087,-1000000000.0,0.9896265560165975
B,6,12,spread<=1.25,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,110.48200000000202,0.7149028189221779,-1000000000.0,0.9979253112033195
B,6,12,body>=0.40,163,115.74500000000171,0.38581666666667236,0.6274150662795209,0.4723926380368098,0,302.1700000000026,0.5982173842485636,-1000000000.0,0.8464730290456431
B,6,12,body>=0.60,310,254.53800000000138,0.8484600000000045,0.5547915524727564,0.5903225806451613,2,415.17600000000243,0.5091175124871283,-1000000000.0,0.6431535269709544
B,6,12,close>=0.70,320,242.90700000000197,0.8096900000000066,0.6048256259982605,0.596875,2,269.8100000000029,0.5687019625045252,-1000000000.0,0.6639004149377593
B,6,12,trend>=2,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,110.48200000000202,0.6960805889019654,-1000000000.0,0.995850622406639
B,6,12,trend=3,159,117.8630000000012,0.39287666666667065,0.6205971917309895,0.48427672955974843,0,525.996000000004,0.507650113885186,-1000000000.0,0.8568464730290456
B,6,12,mom>=0,183,119.58600000000206,0.39862000000000686,0.6150508282526475,0.4918032786885246,0,222.04900000000248,0.6431730679906233,-1000000000.0,0.983402489626556
B,6,12,mom>=0.15,181,119.11700000000178,0.3970566666666726,0.6165605464600431,0.4972375690607735,0,306.47400000000243,0.6636156728357439,-1000000000.0,0.9626556016597511
B,6,12,emaAligned,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,110.48200000000202,0.7149028189221779,-1000000000.0,1.0
B,6,12,prevRoom>=0,172,119.7480000000005,0.3991600000000017,0.7021105107615138,0.4883720930232558,1,217.38900000000217,0.47892812057460793,-1000000000.0,0.6950207468879668
B,6,12,prevDist>=0.25,164,112.0480000000025,0.37349333333334167,0.6393157660934593,0.4695121951219512,0,237.7270000000026,0.5900382944024065,-1000000000.0,0.9336099585062241
B,6,12,prevDist>=0.50,150,115.05000000000177,0.3835000000000059,0.616499999999994,0.4866666666666667,0,347.9390000000026,0.5246366127133237,-1000000000.0,0.8049792531120332
B,6,12,break>=0.05,305,239.71300000000133,0.7990433333333378,0.6575806321676274,0.5901639344262295,3,649.2930000000024,0.5939692094862636,-1000000000.0,0.6327800829875518
B,6,12,break>=0.10,101,118.88200000000097,0.3962733333333366,0.6272894289673486,0.45544554455445546,0,496.6810000000012,0.38624369988462526,-1000000000.0,0.4730290456431535
B,6,12,break<=0.25,271,115.35900000000288,0.3845300000000096,0.6595713914726776,0.5276752767527675,0,115.5950000000023,0.6760629294593656,-1000000000.0,0.7842323651452282
B,6,12,asiaRatio>=0.80,118,117.9600000000014,0.39320000000000466,0.6067999999999953,0.4576271186440678,0,220.38300000000118,0.597013056399637,-1000000000.0,0.6680497925311203
B,6,12,time<=12,155,119.87800000000175,0.3995933333333392,0.6141108757653153,0.47096774193548385,0,238.3570000000018,0.5528749999999951,-1000000000.0,0.7780082987551867
B,6,12,time<=13,164,114.66200000000094,0.3822066666666698,0.6309012599226118,0.4695121951219512,0,210.01100000000224,0.5870649182450985,-1000000000.0,0.8423236514522822
B,6,12,LONG,263,253.61100000000238,0.845370000000008,0.4957506028963785,0.5817490494296578,3,365.53000000000156,0.5180606386564514,-1000000000.0,0.5456431535269709
B,6,12,SHORT,96,116.95700000000124,0.3898566666666708,0.6127944010011409,0.4583333333333333,0,213.1510000000012,0.4909666666666658,-1000000000.0,0.45435684647302904
B,6,12,Thu-Fri,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,110.48200000000202,0.7149028189221779,-1000000000.0,1.0
B,6,12,spread<=10%TP,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,113.7440000000015,0.7064852757506596,-1000000000.0,0.9688796680497925
B,6,12,spread<=15%TP,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,223.07700000000273,0.6374882587917087,-1000000000.0,0.9896265560165975
B,6,12,lowSpread+close,233,119.68600000000129,0.3989533333333376,0.6236904657100057,0.5493562231759657,1,269.8100000000029,0.5687019625045252,-1000000000.0,0.6556016597510373
B,6,12,body+close,302,280.4140000000027,0.9347133333333424,0.5349834737765522,0.5993377483443708,2,326.0600000000027,0.5067992317028824,-1000000000.0,0.6265560165975104
B,6,12,trend+mom,183,119.58600000000206,0.39862000000000686,0.6150508282526475,0.4918032786885246,0,222.04900000000248,0.6196152111002253,-1000000000.0,0.979253112033195
B,6,12,trend+close,235,113.68600000000129,0.37895333333333764,0.642555305421751,0.548936170212766,1,308.0580000000025,0.5440451492307347,-1000000000.0,0.6597510373443983
B,6,12,trend+lowSpread,174,119.26600000000212,0.3975533333333404,0.6160809131702727,0.4885057471264368,0,115.2110000000016,0.6830718191921262,-1000000000.0,0.9854771784232366
B,6,12,break+trend,304,229.63900000000126,0.7654633333333375,0.6575806321676274,0.5888157894736842,3,571.8160000000021,0.5913353561593452,-1000000000.0,0.6307053941908713
B,6,12,prevRoom+trend,146,117.23100000000045,0.3907700000000015,0.7083718916982582,0.4657534246575342,1,219.79800000000182,0.5213568482799218,-1000000000.0,0.6908713692946058
B,6,12,prevDist+trend,164,112.0480000000025,0.37349333333334167,0.6393157660934593,0.4695121951219512,0,237.7270000000026,0.5629724584896684,-1000000000.0,0.9315352697095436
B,6,12,early+trend,164,114.66200000000094,0.3822066666666698,0.6309012599226118,0.4695121951219512,0,210.01100000000224,0.5870649182450985,-1000000000.0,0.8423236514522822
B,6,12,lowSpread+body,163,115.74500000000171,0.38581666666667236,0.6274150662795209,0.4723926380368098,0,302.1700000000026,0.5868254745720153,-1000000000.0,0.8402489626556017
B,6,12,TPspread+close,233,119.68600000000129,0.3989533333333376,0.6236904657100057,0.5493562231759657,1,269.8100000000029,0.5687019625045252,-1000000000.0,0.6556016597510373
B,6,15,ALL,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,306.8470000000027,0.5864866483055875,-1000000000.0,1.0
B,6,15,spread<=0.5,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,145.8820000000012,0.6029816788408543,-1000000000.0,0.9522821576763485
B,6,15,spread<=0.75,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,146.84400000000142,0.6003635928195825,-1000000000.0,0.9813278008298755
B,6,15,spread<=1.0,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,145.1480000000015,0.6049792621460647,-1000000000.0,0.9896265560165975
B,6,15,spread<=1.25,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,147.35400000000163,0.5989756262178684,-1000000000.0,0.9979253112033195
B,6,15,body>=0.40,291,145.80100000000107,0.4860033333333369,0.5306643403915576,0.5429553264604811,0,363.1090000000024,0.539161828661794,-1000000000.0,0.8464730290456431
B,6,15,close>=0.70,320,283.74600000000123,0.9458200000000041,0.45637544600312735,0.6125,2,318.79100000000244,0.4650750775424655,-1000000000.0,0.6639004149377593
B,6,15,trend>=2,189,139.96700000000033,0.46655666666666773,0.5656840537437554,0.47619047619047616,0,146.86700000000133,0.5729592519146969,-1000000000.0,0.995850622406639
B,6,15,trend=3,193,149.19100000000049,0.49730333333333493,0.5594602176256066,0.5025906735751295,0,519.4310000000032,0.36241323657897206,-1000000000.0,0.8568464730290456
B,6,15,mom>=0,221,148.60200000000054,0.49534000000000183,0.561783041290923,0.5113122171945701,0,145.9450000000013,0.6028102241429953,-1000000000.0,0.983402489626556
B,6,15,mom>=0.15,232,146.66900000000032,0.48889666666666776,0.5789934467545215,0.521551724137931,0,143.22900000000095,0.6102018266729056,-1000000000.0,0.9626556016597511
