tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
840,15.0,15.0,1.0,0.62,False,False,209,101,108,0.48325358851674644,-103.66799999999989,-0.49601913875598036,0.9270221183493602,185.1569999999997,6,28,42,75,64,-11.269000000000233,12.10499999999979,-74.50399999999945,-30.0
840,15.0,15.0,1.0,0.64,False,False,167,82,85,0.49101796407185627,-75.65900000000033,-0.4530479041916188,0.9338405103249865,133.84699999999975,5,22,35,59,51,-19.16700000000037,-4.7650000000001,-36.72699999999986,-15.0
840,15.0,15.0,1.0,0.66,False,False,123,60,63,0.4878048780487805,-43.28300000000013,-0.3518943089430905,0.9481670514748851,144.6569999999997,6,13,27,43,40,22.141999999999825,-37.248000000000275,-28.17699999999968,0.0
840,15.0,15.0,1.0,0.68,False,False,93,41,52,0.44086021505376344,-118.3680000000004,-1.2727741935483914,0.8286798559016492,178.87400000000025,13,8,21,31,33,-27.59400000000005,-46.03700000000026,-29.73700000000008,-15.0
840,15.0,15.0,1.0,0.7,False,False,63,31,32,0.49206349206349204,3.6970000000001164,0.05868253968254153,1.00836792619385,98.54599999999982,7,2,13,24,24,-12.73700000000008,-13.565999999999804,30.0,0.0
840,20.0,20.0,1.0,0.5,True,False,710,337,373,0.47464788732394364,-168.2810000000011,-0.23701549295774801,0.9671413131876231,419.84599999999955,7,177,177,210,146,-204.57000000000153,172.66899999999964,-184.32999999999902,47.94999999999982
840,20.0,20.0,1.0,0.52,True,False,619,300,319,0.48465266558966075,-58.926000000001295,-0.09519547657512326,0.9866598689938733,412.2989999999995,7,148,154,180,137,-152.03300000000218,282.2429999999995,-137.08599999999842,-52.05000000000018
840,20.0,20.0,1.0,0.54,True,False,497,245,252,0.49295774647887325,55.7550000000017,0.11218309859155272,1.0154658992939865,426.9869999999996,10,106,120,149,122,-16.294000000001006,266.41800000000103,-162.31899999999814,-32.05000000000018
840,20.0,20.0,1.0,0.56,False,False,410,193,217,0.47073170731707314,-251.59400000000028,-0.6136439024390251,0.9211468455635424,615.1900000000005,11,83,92,130,105,60.50999999999863,153.86800000000085,-355.09199999999964,-110.88000000000011
840,20.0,20.0,1.0,0.58,False,False,316,155,161,0.49050632911392406,-41.672000000000935,-0.13187341772152195,0.9829844225311853,444.8730000000005,9,58,61,109,88,93.9759999999992,144.8859999999995,-211.45399999999972,-69.07999999999993
840,20.0,20.0,1.0,0.6,False,False,242,120,122,0.49586776859504134,-11.56200000000058,-0.04777685950413463,0.9937816878721397,237.67200000000003,8,39,44,85,74,27.9399999999996,28.611999999999398,-79.03399999999965,10.920000000000073
840,20.0,20.0,1.0,0.62,False,False,198,91,107,0.4595959595959596,-276.68000000000075,-1.3973737373737412,0.8305718902918081,417.672,7,30,37,73,58,31.39099999999985,5.025999999999158,-164.01699999999983,-149.07999999999993
840,20.0,20.0,1.0,0.64,False,False,158,67,91,0.4240506329113924,-356.2539999999999,-2.2547721518987336,0.7414130123140464,473.41899999999896,7,23,31,58,46,16.425999999999704,-9.693000000000438,-213.90699999999924,-149.07999999999993
840,20.0,20.0,1.0,0.66,False,False,119,51,68,0.42857142857142855,-275.9400000000003,-2.318823529411767,0.7389055682924589,426.06299999999965,6,15,21,47,36,6.587999999999738,32.1449999999993,-205.5929999999994,-109.07999999999993
840,20.0,20.0,1.0,0.68,False,False,95,41,54,0.43157894736842106,-199.10699999999997,-2.0958631578947364,0.7567309008093211,297.4269999999999,6,11,17,37,30,8.339999999999918,-12.77400000000057,-125.59299999999939,-69.07999999999993
