tm,tp,sl,rr,threshold,freq_ok,all_years_positive,n,positive,negative,wr,net,ev,pf,dd,streak,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026
600,20.0,20.0,1.0,0.6,False,False,244,123,121,0.5040983606557377,-3.7450000000019372,-0.015348360655745644,0.9979040203631827,266.2039999999988,6,54,57,80,53,12.815999999999804,32.30299999999829,104.2259999999992,-153.08999999999924
600,20.0,20.0,1.0,0.62,False,False,193,98,95,0.5077720207253886,1.0619999999983065,0.005502590673566355,1.000764271254404,221.47399999999925,6,39,49,65,40,9.739000000000033,63.93999999999846,35.74299999999948,-108.35999999999967
600,20.0,20.0,1.0,0.64,False,False,150,80,70,0.5333333333333333,129.65699999999947,0.8643799999999965,1.1255357856915322,131.48699999999917,4,28,39,50,33,40.827000000000226,29.950999999998885,147.23900000000003,-88.35999999999967
600,20.0,20.0,1.0,0.66,False,False,98,50,48,0.5102040816326531,26.779999999999518,0.27326530612244404,1.0376234034990601,108.35999999999967,6,18,25,30,25,5.785000000000082,7.601999999999407,61.7529999999997,-48.35999999999967
600,20.0,20.0,1.0,0.68,False,False,64,27,37,0.421875,-120.02799999999979,-1.8754374999999968,0.7856692612492928,150.3499999999999,7,11,15,20,18,-2.382000000000062,-25.798999999999978,-23.48700000000008,-68.35999999999967
600,20.0,20.0,1.0,0.7,False,False,40,18,22,0.45,-60.210000000000264,-1.5052500000000066,0.8228883234545742,90.53200000000038,3,8,8,12,12,11.444999999999936,-3.755000000000109,-27.90000000000009,-40.0
600,20.0,15.0,1.3333333333333333,0.5,True,False,617,271,346,0.4392220421393841,-141.99300000000426,-0.23013452188007172,0.9650617060373384,462.23000000000275,11,174,174,165,104,202.1079999999988,43.00599999999827,-122.10700000000134,-265.0
600,20.0,15.0,1.3333333333333333,0.52,True,False,512,227,285,0.443359375,-104.93400000000315,-0.20494921875000616,0.9685613995561063,345.0,10,142,144,137,89,115.96899999999914,36.932999999998856,-42.83600000000115,-215.0
600,20.0,15.0,1.3333333333333333,0.54,True,False,411,188,223,0.45742092457420924,22.603999999997086,0.05499756690996858,1.0084798601445815,290.0,9,113,105,116,77,67.77899999999909,-13.706000000000586,108.53099999999858,-140.0
600,20.0,15.0,1.3333333333333333,0.56,False,False,324,149,175,0.45987654320987653,-73.07200000000216,-0.22553086419753754,0.9658497373488111,290.0,10,84,84,94,62,11.72899999999936,105.34799999999973,4.8509999999987485,-195.0
600,20.0,15.0,1.3333333333333333,0.58,False,False,253,116,137,0.45849802371541504,-118.3710000000026,-0.4678695652174016,0.9298433297495655,274.6480000000015,8,64,66,71,52,86.65299999999957,8.63899999999876,-63.66300000000092,-150.0
600,20.0,15.0,1.3333333333333333,0.6,False,False,201,93,108,0.4626865671641791,-87.18000000000097,-0.4337313432835869,0.9345427187972312,264.6530000000007,8,53,48,55,45,100.11300000000006,27.413999999999305,-29.707000000000335,-185.0
600,20.0,15.0,1.3333333333333333,0.62,False,False,146,62,84,0.4246575342465753,-205.31700000000092,-1.4062808219178144,0.7987232286316756,347.5800000000004,13,39,34,42,31,82.93699999999967,21.87599999999952,-125.13000000000011,-185.0
600,20.0,15.0,1.3333333333333333,0.64,False,False,94,37,57,0.39361702127659576,-190.6309999999994,-2.0279893617021214,0.7401378163403022,243.9010000000003,9,21,18,33,22,21.748000000000047,2.7010000000004766,-95.07999999999993,-120.0
600,20.0,15.0,1.3333333333333333,0.66,False,False,66,27,39,0.4090909090909091,-138.25,-2.0946969696969697,0.732783631088716,164.5329999999999,8,15,12,19,20,1.6579999999999018,-9.907999999999902,-5.0,-125.0
600,20.0,15.0,1.3333333333333333,0.68,False,False,48,19,29,0.3958333333333333,-94.99900000000048,-1.9791458333333434,0.7520605291866969,114.99900000000048,6,10,8,13,17,-35.27099999999996,5.27199999999948,15.0,-80.0
600,20.0,15.0,1.3333333333333333,0.7,False,False,38,17,21,0.4473684210526316,-42.40899999999988,-1.1160263157894705,0.8540459244779123,62.40899999999988,4,7,6,12,13,-43.38099999999963,25.971999999999753,-5.0,-20.0
600,25.0,20.0,1.25,0.5,True,False,738,345,393,0.46747967479674796,-210.66000000000304,-0.28544715447154884,0.9623576148100783,764.3169999999982,9,203,202,203,130,8.818999999998596,83.83499999999958,134.52599999999802,-437.83999999999924
