tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_oos_final,b_oos_dd,b_oos_wr,b_oos_pos_years,b_oos_reentries,b_oos_maxdayloss,b_oos_max_second_risk,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_pos_years,ab_oos_reentries,ab_oos_maxdayloss,ab_oos_maxrisk,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
25.0,6.0,970.9620000000109,0.5905589338584517,0.613564668769716,3,733.8310000000006,0.5402613457779363,0.6349206349206349,3,195,0.09979268070583348,0.049941318950233446,2262.859000000022,0.5140228471346105,0.6083445491251682,4,2054.9179999999988,0.532335776534426,0.6319218241042345,4,195,0.19483113011797065,0.19958287179794157,0.16661666666666775,0.2640198865665735,0.5143222691392957,2.067417206284952
25.0,8.0,719.3860000000059,0.5108114503715925,0.6261829652996845,3,610.8000000000011,0.44079433780537863,0.6527777777777778,3,195,0.0954599259230971,0.04991784354915858,192.4409999999989,0.3992695375298541,0.5381818181818182,1,1544.6030000000003,0.5075664016677373,0.6465798045602605,4,195,0.17657367610207717,0.1964631717505605,0.09138333333333404,0.25259991142739846,0.5132229591339057,1.4888745300941175
25.0,10.0,576.0700000000038,0.49795724465558094,0.637223974763407,3,915.9970000000005,0.3640420685214901,0.6726190476190477,4,195,0.0982001548289107,0.049917054494448346,199.7709999999986,0.39009043115081754,0.5328185328185329,1,2279.337999999998,0.5071352892939834,0.6628664495114006,4,195,0.1627110922185457,0.19818217400890378,0.4094566666666688,0.47760957532099013,0.46503774080167104,1.4901599190681503
25.0,12.0,571.672000000003,0.3918466021598161,0.6419558359621451,3,683.4580000000012,0.38335612315550294,0.6785714285714286,4,195,0.09792928526311122,0.049630049340540515,198.20099999999888,0.3979276909337265,0.5357142857142857,1,2019.7869999999994,0.5734934501610798,0.6677524429967426,4,195,0.18762012085081048,0.19981517096685536,0.3627900000000037,0.49536612390757306,0.32456437358614054,1.494220085034708
25.0,15.0,190.6789999999994,0.40250368188512725,0.6235632183908046,1,595.0640000000012,0.3788204329376372,0.6938775510204082,4,181,0.09804954933975871,0.049834218167562415,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1480.3199999999988,0.6395285316148636,0.6791530944625407,4,195,0.19857029388403535,0.19857029388403535,0.4048766666666703,0.48837976287360974,0.2726348125369584,0.8542940174366183
25.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,918.6669999999988,0.46083843167261,0.747072599531616,4,118,0.0970690014997163,0.04985784282564343,198.02099999999905,0.3847700122722276,0.5360824742268041,0,2088.9969999999958,0.6608424171796343,0.702054794520548,4,165,0.1858914003849819,0.19957473949259866,0.7027333333333361,0.5531733291570404,0.3182600782463074,0.997325740488791
30.0,6.0,1081.9690000000128,0.5817595856530723,0.61198738170347,3,652.656,0.5206416273001958,0.628968253968254,4,195,0.09740512740590666,0.04951965930474399,1893.275000000018,0.525084399985688,0.6069986541049798,4,1391.965999999998,0.6087232290669591,0.6270358306188925,4,195,0.19386607731379132,0.19453739008637333,0.30087000000000064,0.12735835761196346,0.1636542989880876,1.718864143322024
30.0,8.0,733.757000000006,0.5137073930164086,0.6246056782334385,3,548.2939999999999,0.43974866037254257,0.6468253968253969,3,195,0.09518959387359734,0.04997657348118068,195.1209999999985,0.3909035571025036,0.5328185328185329,1,1156.4339999999988,0.5090701998792254,0.6416938110749185,4,195,0.1816390196942112,0.19635082001011264,0.08251666666666702,0.2762236147249517,0.2749939680548097,1.1884170965532146
30.0,10.0,548.7720000000031,0.43243742528425216,0.6356466876971609,3,792.5079999999994,0.41627075525960544,0.6666666666666666,4,195,0.09954408807660928,0.049443920705136306,194.50399999999854,0.40617081168216945,0.5328185328185329,1,1993.7679999999964,0.5933139364320085,0.6579804560260586,4,195,0.17716674934448404,0.19384540828689076,0.46315666666666866,0.38146518828013765,0.4187700984514797,1.3174510186812536
30.0,12.0,569.345000000003,0.3928391256162031,0.6403785488958991,3,611.6250000000005,0.4648597674438193,0.6726190476190477,4,195,0.09906261995864128,0.0499936466407392,198.6139999999989,0.3966731268112227,0.5378486055776892,1,1468.4259999999979,0.6377307463378216,0.6628664495114006,4,195,0.16091269681634282,0.19878542107721767,0.3432900000000032,0.45530252836940255,0.21020413731012666,1.0689457918748437
30.0,15.0,190.6789999999994,0.40250368188512725,0.6235632183908046,1,831.78,0.43819332642304243,0.6884920634920635,4,195,0.09608524683098835,0.04971167230065614,199.3609999999992,0.3891957805209116,0.5339805825242718,1,1513.8469999999966,0.6457926155911593,0.6758957654723127,4,195,0.19672872911601663,0.19840088883598156,0.4673200000000035,0.39627802160855685,0.21857001542375554,1.021219610215002
30.0,20.0,196.80699999999933,0.39816397613536175,0.627906976744186,1,937.3369999999979,0.4746063145201595,0.7423887587822015,4,118,0.0994666927490442,0.04982548623446384,198.02099999999905,0.3847700122722276,0.5360824742268041,0,2735.1939999999922,0.6451185810443149,0.6986301369863014,4,165,0.18567602319093626,0.19980094830525078,0.7027333333333361,0.5695411299479254,0.5647886568556555,1.1801774945120869
