family,param,tp,sl,robust_score,positive_train_years,train_n,train_net,train_expectancy,train_pf,train_positive_rate,train_max_dd,train_tp,train_sl,train_eod,oos_n,oos_net,oos_expectancy,oos_pf,oos_positive_rate,oos_max_dd,oos_tp,oos_sl,oos_eod,all_n,all_net,all_expectancy,all_pf,all_positive_rate,all_max_dd,all_tp,all_sl,all_eod
prevday_rejection,ext=0.0,30.0,20.0,-1.4082068157206096,0,456,-524.4009999999987,-1.1500021929824533,0.8277859768660919,0.45394736842105265,606.4740000000015,38,110,308,85,-15.570000000000164,-0.18317647058823722,0.984112244897959,0.4235294117647059,350.0,30,49,6,541,-539.9709999999989,-0.9980979667282789,0.8658475140954631,0.4491682070240296,784.7499999999991,68,159,314
prevday_rejection,ext=0.0,30.0,25.0,-0.9558134882105759,1,456,-336.7409999999975,-0.7384671052631524,0.8879085828869536,0.47149122807017546,418.15100000000075,41,66,349,85,-176.19999999999936,-2.072941176470581,0.849482757147861,0.43529411764705883,430.0599999999995,31,46,8,541,-512.9409999999968,-0.9481349353049849,0.8771338178602351,0.4658040665434381,715.6229999999973,72,112,357
prevday_rejection,ext=0.0,30.0,30.0,-1.3112185431375654,0,456,-472.87999999999647,-1.0370175438596414,0.8508407555997021,0.47368421052631576,539.2899999999997,42,52,362,85,-202.6599999999994,-2.38423529411764,0.8425440334397754,0.47058823529411764,406.5199999999995,34,42,9,541,-675.5399999999959,-1.2486876155267945,0.8484450439976917,0.4731977818853974,848.2219999999963,76,94,371
prevday_rejection,ext=0.0,30.0,35.0,-1.4371342258018824,0,456,-528.7419999999954,-1.1595219298245514,0.8370553585637612,0.4758771929824561,582.5639999999958,42,35,379,85,-221.07000000000016,-2.6008235294117665,0.8381032588795312,0.49411764705882355,426.9800000000005,36,36,13,541,-749.8119999999956,-1.3859741219962949,0.8373657225874103,0.4787430683918669,939.5439999999962,78,71,392
morning_momentum_cont,th=8.0,10.0,15.0,-2.1817688392918004,0,71,-88.56700000000001,-1.2474225352112678,0.8109832745370459,0.5352112676056338,148.567,38,30,3,85,-200.0,-2.3529411764705883,0.6825396825396826,0.5058823529411764,230.0,43,42,0,156,-288.567,-1.8497884615384617,0.7373241686669998,0.5192307692307693,288.567,81,72,3
morning_momentum_cont,th=8.0,10.0,20.0,-0.37401326127947443,1,71,-14.94199999999978,-0.210450704225349,0.9671562528849836,0.6197183098591549,100.30999999999995,44,21,6,85,-275.5600000000004,-3.241882352941181,0.6303986265357581,0.5529411764705883,305.5600000000004,47,37,1,156,-290.5020000000002,-1.8621923076923088,0.758016229877168,0.5833333333333334,305.87000000000035,91,58,7
morning_momentum_cont,th=8.0,10.0,25.0,-0.8423020415423756,0,71,-45.04199999999969,-0.6343943661971787,0.9108153381302947,0.647887323943662,120.30999999999995,46,18,7,85,-355.5600000000004,-4.183058823529416,0.5844125485062412,0.5882352941176471,395.5600000000004,50,34,1,156,-400.6020000000001,-2.567961538461539,0.7055700344406373,0.6153846153846154,405.87000000000035,96,52,8
morning_momentum_cont,th=8.0,10.0,30.0,-1.5372649486103445,1,71,-81.39200000000005,-1.1463661971830994,0.849747647230396,0.6619718309859155,170.9000000000001,46,15,10,85,-285.5600000000004,-3.3595294117647105,0.6622829840579021,0.6588235294117647,340.0,56,28,1,156,-366.95200000000045,-2.352256410256413,0.7354847173785483,0.6602564102564102,386.4600000000005,102,43,11
morning_momentum_cont,th=8.0,10.0,35.0,-1.1973214559242553,0,71,-48.501999999999725,-0.6831267605633764,0.9082812039061146,0.6901408450704225,130.5,48,12,11,85,-302.5800000000004,-3.5597647058823574,0.6571642230732622,0.6823529411764706,357.02,58,25,2,156,-351.0820000000001,-2.2505256410256416,0.7512512469958735,0.6858974358974359,361.09000000000015,106,37,13
morning_momentum_cont,th=8.0,15.0,15.0,-2.5229516556937384,0,71,-101.644,-1.431605633802817,0.8116472434758277,0.43661971830985913,161.644,29,34,8,85,-233.19999999999982,-2.7435294117647038,0.6890666666666669,0.4117647058823529,270.0,34,50,1,156,-334.8439999999998,-2.146435897435896,0.7403599589655155,0.4230769230769231,356.644,63,84,9
