family,variant,exit,exit_type,initial_rr,n_2023,n_2024,n_2025,n_2026,net_2023,net_2024,net_2025,net_2026,n,positive,negative,win_rate,tp_count,sl_count,eod_count,net,ev,pf,max_dd,max_loss_streak,streak_start,streak_end,avg_tp,avg_sl,avg_rr
norm_impulse_fade_840,s=0.4,F30_25,fixed,1.2,134,139,130,78,11.566000000000713,-338.23800000000074,216.07700000000023,252.8300000000013,481,228,253,0.47401247401247404,87,102,292,142.2350000000015,0.2957068607068638,1.0376733953546524,468.4169999999988,9,2024-03-06,2024-03-25,30.0,25.0,1.1999999999999995
norm_impulse_fade_840,s=0.4,F40_30,fixed,1.3333333333333333,134,139,130,78,25.72300000000064,-392.43800000000056,262.98000000000275,368.3830000000012,481,232,249,0.48232848232848236,58,84,339,264.648000000004,0.5502037422037506,1.0660443255230003,565.3399999999986,9,2024-03-06,2024-03-25,40.0,30.0,1.3333333333333333
norm_impulse_fade_840,s=0.4,R60x075_R1,r60,1.0,134,139,130,78,-55.16550000000109,-215.67312500000133,125.32275000000323,56.08862500000282,481,224,257,0.4656964656964657,221,255,5,-89.42724999999638,-0.18591943866943114,0.9551610332733885,361.08812499999965,10,2024-04-17,2024-05-07,8.168432952182968,8.168432952182968,1.0
norm_impulse_fade_840,s=0.4,R60x075_R125,r60,1.25,134,139,130,78,-64.63834375000103,-222.53753125000193,166.07171875000276,132.42718750000208,481,200,281,0.4158004158004158,195,276,10,11.32303125000189,0.02354060550935944,1.0052763220227423,380.08931250000177,10,2024-04-17,2024-05-07,10.21054119022871,8.168432952182968,1.25
norm_impulse_fade_840,s=0.4,R60x1_R1,r60,1.0,134,139,130,78,-37.445000000000846,-237.0905000000016,59.76800000000321,72.50299999999879,481,223,258,0.46361746361746364,217,253,11,-142.26450000000045,-0.2957681912681922,0.9407680672289898,375.9215000000004,10,2024-04-17,2024-05-07,9.928097713097722,9.928097713097722,1.0
norm_impulse_fade_840,s=0.4,R60x1_R125,r60,1.25,134,139,130,78,-49.03837500000111,-244.24787500000093,48.264875000004395,207.25462499999765,481,197,284,0.4095634095634096,184,274,23,-37.76675,-0.07851715176715177,0.9852882258087449,416.34500000000037,10,2024-04-17,2024-05-07,12.41012214137215,9.928097713097722,1.25
norm_impulse_fade_840,s=0.4,ASIAx025_R1,asia,1.0,134,139,130,78,-53.83049999999997,-165.3190000000003,142.22337500000083,203.69662499999743,481,233,248,0.48440748440748443,232,248,1,126.77049999999798,0.26355613305612885,1.0676548638916192,267.0846249999997,8,2024-02-06,2024-02-26,8.059807692307688,8.059807692307688,1.0
norm_impulse_fade_840,s=0.4,ASIAx025_R125,asia,1.25,134,139,130,78,-54.222875,-141.8711562500002,103.80421875000121,257.0003124999978,481,208,273,0.43243243243243246,204,271,6,164.71049999999877,0.3424334719334694,1.0800668201790518,281.8473124999996,8,2024-02-06,2024-02-26,10.074759615384611,8.059807692307688,1.25
norm_impulse_fade_840,s=0.4,ASIAx033_R1,asia,1.0,134,139,130,78,-52.118000000000116,-203.48138000000006,108.76023000000188,226.87597499999725,481,230,251,0.4781704781704782,225,249,7,80.03682499999888,0.16639672557172325,1.0357674908342889,322.1194349999998,8,2024-02-06,2024-02-26,9.598568388773383,9.598568388773383,1.0
norm_impulse_fade_840,s=0.4,ASIAx033_R125,asia,1.25,134,139,130,78,-49.96557750000015,-201.04976625000083,107.98647875000196,353.00335624999656,481,207,274,0.4303534303534304,197,269,15,209.97449124999747,0.4365374038461486,1.0876150098179944,365.2432062500002,8,2024-02-06,2024-02-26,11.99821048596673,9.598568388773383,1.25
norm_impulse_fade_840,s=0.4,PREVx025_R1,prev,1.0,133,137,130,78,-37.672124999999596,-64.70387500000015,23.059999999999263,124.26287500000069,478,229,249,0.4790794979079498,210,230,38,44.946875000000205,0.09403111924686235,1.0157935878757955,253.38649999999978,8,2023-12-12,2023-12-28,12.832354079497906,12.832354079497906,1.0
norm_impulse_fade_840,s=0.4,PREVx025_R125,prev,1.25,133,137,130,78,-22.94240624999938,-65.28568750000028,101.83646875000022,269.10278125,478,215,263,0.4497907949790795,185,241,52,282.7111562500006,0.5914459335774072,1.09521931870521,233.03587499999992,8,2023-12-12,2023-12-28,16.04044259937238,12.832354079497906,1.25
asia_morning_divergence,morning_dir,F10_10,fixed,1.0,137,151,117,80,-160.4430000000002,133.98900000000003,-83.5,20.0,485,238,247,0.49072164948453606,216,226,43,-89.95400000000018,-0.18547216494845398,0.9612047178485724,213.067,6,2023-06-08,2023-06-26,10.0,10.0,1.0
asia_morning_divergence,morning_dir,F15_15,fixed,1.0,137,151,117,80,-118.6320000000012,-64.17900000000054,-152.2579999999998,-109.10000000000036,485,225,260,0.4639175257731959,165,190,130,-444.1690000000019,-0.9158123711340246,0.8624148163750799,487.8060000000014,7,2023-10-25,2023-11-08,15.0,15.0,1.0
asia_morning_divergence,morning_dir,F20_20,fixed,1.0,137,151,117,80,-197.5590000000011,-153.42600000000084,-236.21299999999974,-64.10000000000036,485,219,266,0.4515463917525773,131,157,197,-651.298000000002,-1.3428824742268084,0.8314908872072131,749.8040000000019,7,2023-01-10,2023-01-30,20.0,20.0,1.0
asia_morning_divergence,morning_dir,F20_15,fixed,1.3333333333333333,137,151,117,80,-113.58800000000133,-104.91100000000233,-135.4349999999995,-69.10000000000036,485,206,279,0.4247422680412371,120,200,165,-423.0340000000035,-0.872235051546399,0.8758370420244617,482.2270000000033,9,2025-03-14,2025-04-10,20.0,15.0,1.333333333333333
asia_morning_divergence,morning_dir,F25_20,fixed,1.25,137,151,117,80,-172.57100000000082,-102.59300000000144,-160.72599999999966,-54.100000000000364,485,213,272,0.43917525773195876,105,162,218,-489.9900000000023,-1.0102886597938192,0.8765703282616132,628.6220000000021,7,2023-01-10,2023-01-30,25.0,20.0,1.25
asia_morning_divergence,morning_dir,F30_25,fixed,1.2,137,151,117,80,-152.64900000000102,-167.07700000000114,-90.96300000000019,-170.65000000000055,485,216,269,0.44536082474226807,89,125,271,-581.3390000000029,-1.198637113402068,0.8667150125732977,664.7710000000029,7,2023-01-10,2023-01-30,30.0,25.0,1.1999999999999995
asia_morning_divergence,morning_dir,F40_30,fixed,1.3333333333333333,137,151,117,80,-107.17500000000041,-241.00000000000045,-122.93600000000015,-121.07999999999993,485,217,268,0.44742268041237115,58,98,329,-592.1910000000009,-1.2210123711340226,0.8729544922596957,697.9020000000016,7,2023-01-10,2023-01-30,40.0,30.0,1.333333333333333
