portfolio,components,train_final,train_dd,train_wr,train_pos_years,oos_final,oos_multiple,oos_dd,oos_wr,oos_trades,oos_pos_years,oos_max_day_loss,oos_max_day_risk,full_final,full_dd,ret_2023,ret_2024,ret_2025,ret_2026,growth_dd_score
A_strong_20_12,1,711.0869999999991,0.4767605962350435,0.5504587155963303,4,1627.6119999999953,5.425373333333318,0.5712780774942948,0.509090909090909,110,4,0.09930456710731812,0.09990974819413112,4802.748999999987,0.5829668260740111,0.7067466666666709,0.5986828742402646,0.10389902316739597,0.8012288460091319,1.99915428451562
A_highWR_6_12 + C_30_20,2,112.19899999999848,0.6838894899362175,0.44686648501362397,0,1438.3499999999913,4.794499999999971,0.883742891213086,0.5145631067961165,824,2,0.19288891907494934,0.1981892112399714,112.19899999999848,0.6838894899362175,-0.10134666666666814,-0.28243371563376374,0.5065674866763108,3.9351518270716506,1.3131196176823376
A_highWR_bodyclose_6_12 + B_highWR_5_20 + C_30_20,3,118.45499999999993,0.6435578317676012,0.4409722222222222,0,1272.9879999999912,4.243293333333304,0.914854974415759,0.5667574931880109,734,3,0.28421620032341866,0.29557232654831067,118.45499999999993,0.6435578317676012,-0.4172533333333346,0.0013041687640131805,0.6914288325754203,3.2993569479344904,1.133187278177442
A_highWR_6_12,1,184.69699999999875,0.6775372250466803,0.5909090909090909,2,1066.5969999999998,3.5553233333333325,0.38413401004523,0.7272727272727273,176,4,0.1,0.1,614.4779999999987,0.6775372250466803,0.40555000000000074,0.27731018699678534,0.2673613109616282,0.5625574094231298,1.651793337655048
B_highWRmom_5_20,1,377.4939999999999,0.3841027355872768,0.6357758620689655,2,1034.4749999999985,3.448249999999995,0.2903917171782996,0.7961165048543689,309,4,0.09984307995933078,0.09984307995933078,1290.0669999999977,0.3841027355872768,0.26333000000000006,0.532835178984638,0.5913351223786161,0.11898645176992373,1.8428258825323987
B_highWR_5_20,1,199.10500000000025,0.3699009462324763,0.5,0,990.884999999998,3.302949999999993,0.3109436886077375,0.7901234567901234,324,4,0.09949044311385206,0.09988949724367444,199.10500000000025,0.3699009462324763,0.26139666666666694,0.5848913505928566,0.468746300560398,0.12487441607020244,1.7088663662352885
A_highWR_bodyclose_6_12,1,264.35399999999913,0.49058892100816825,0.6027397260273972,2,898.9879999999998,2.996626666666666,0.34873947075059475,0.7338129496402878,139,4,0.09961626982726945,0.1,832.5639999999989,0.49058892100816825,0.4468533333333342,0.07587039460346023,0.2569659177537753,0.5315270499567284,1.4644705808159522
A_highWR_6_12 + B_highWR_5_20 + C_30_20,3,117.43299999999954,0.6472487729268929,0.4527363184079602,0,890.351999999999,2.9678399999999967,0.667687662403649,0.6265432098765432,324,2,0.28421620032341866,0.28421620032341866,117.43299999999954,0.6472487729268929,-0.37686333333333477,-0.04091665284769064,0.03379961180643587,3.8035737407743317,0.9882709795429023
A_smooth_15_20,1,504.6109999999994,0.3375545041284002,0.5779816513761468,4,594.8459999999995,1.9828199999999985,0.28634044660440255,0.6181818181818182,110,3,0.09920561106936208,0.09920561106936208,1412.4929999999974,0.3375545041284002,0.2602900000000008,0.04036901559693851,-0.07246472607093013,0.6304029645384637,1.0665934583619303
A_smooth_15_20 + B_highWRmom_5_20 + C_30_20,3,197.8409999999992,0.4049035650259317,0.44150943396226416,0,199.06599999999935,0.6635533333333311,0.5155271944939319,0.5283018867924528,53,0,0.29577777230041175,0.29577777230041175,197.8409999999992,0.4049035650259317,-0.3364466666666689,0.0,0.0,0.0,0.2605662970459766
B_highWRmom_5_20 + C_30_20,2,184.14399999999978,0.4395865922467797,0.43775100401606426,0,198.0019999999995,0.660006666666665,0.5181166827292829,0.4727272727272727,55,0,0.10646509275771211,0.19469836356025425,184.14399999999978,0.4395865922467797,-0.33999333333333503,0.0,0.0,0.0,0.2583853638755966
B_star_20_25 + C_30_20,2,195.09100000000012,0.40686138887791,0.42727272727272725,0,197.63400000000001,0.65878,0.5603609936445723,0.4528301886792453,53,0,0.16102221858890034,0.16102221858890034,195.09100000000012,0.40686138887791,-0.34121999999999997,0.0,0.0,0.0,0.24571414039955325
A_smooth_15_20 + C_30_20,2,193.5289999999984,0.42854654064093956,0.4194915254237288,0,197.30499999999915,0.6576833333333305,0.7366165765828313,0.4838709677419355,186,0,0.10004827329186337,0.19355182108069702,193.5289999999984,0.42854654064093956,-0.3423166666666695,0.0,0.0,0.0,0.20489536542412
A_smooth_15_20 + B_highWR_5_20 + C_30_20,3,186.4019999999996,0.4393115397109979,0.44274809160305345,0,194.5159999999994,0.6483866666666647,0.529383870202894,0.5370370370370371,54,0,0.2940167589552607,0.2940167589552607,186.4019999999996,0.4393115397109979,-0.35161333333333533,0.0,0.0,0.0,0.2505211302185566
C_30_20,1,197.50199999999927,0.39825419313559957,0.41847826086956524,0,193.63499999999885,0.6454499999999962,0.6703877520797071,0.4785276073619632,163,0,0.09474766328575428,0.09942729875914746,197.50199999999927,0.39825419313559957,-0.3545500000000038,0.0,0.0,0.0,0.2143523764985594
B_highWR_5_20 + C_30_20,2,194.3820000000003,0.40842884359041426,0.4411764705882353,0,188.08199999999943,0.626939999999998,0.5449504260600706,0.47368421052631576,57,0,0.11303966623447541,0.19985111092236363,194.3820000000003,0.40842884359041426,-0.37306000000000195,0.0,0.0,0.0,0.23794132336493803
A_smooth_15_20 + B_star_20_25 + C_30_20,3,199.94999999999936,0.41076448850409,0.43388429752066116,0,184.25600000000009,0.614186666666667,0.5901205017607005,0.4827586206896552,58,0,0.25382489949742665,0.25382489949742665,199.94999999999936,0.41076448850409,-0.385813333333333,0.0,0.0,0.0,0.22169910515130598
