tp2,sl2,b_train_final,b_train_dd,b_train_wr,b_train_pos_years,b_train_score,b_oos_final,b_oos_dd,b_oos_wr,b_oos_trades,b_oos_reentries,b_oos_pos_years,ab_train_final,ab_train_dd,ab_train_wr,ab_train_pos_years,ab_train_score,ab_oos_final,ab_oos_dd,ab_oos_wr,ab_oos_trades,ab_oos_reentries,ab_oos_pos_years,ab_oos_maxrisk,ab_oos_maxdayloss,b_full_final,ab_full_final,b_ret_2023,b_ret_2024,b_ret_2025,b_ret_2026,ab_ret_2023,ab_ret_2024,ab_ret_2025,ab_ret_2026
12.0,15.0,506.9750000000022,0.38184472621095134,0.6482649842271293,4,0.40918883766974623,659.5220000000029,0.4945563281828215,0.7162698412698413,504,195,3,199.49399999999923,0.39399996354777533,0.5377777777777778,1,-0.8398982647560209,1055.2540000000004,0.6368346123545852,0.6986970684039088,614,195,4,0.19650129445227718,0.16545927357863582,1024.1260000000077,199.49399999999923,0.1792100000000012,0.41737547454087043,0.4609096257591003,-0.09965570999915319,0.40859000000000156,0.3212195647183844,0.33124013777119177,0.4197757428819755
12.0,10.0,572.3320000000019,0.39913588855618687,0.6419558359621451,3,0.407103318374873,949.6520000000016,0.33277609619282905,0.7003968253968254,504,195,4,197.67499999999905,0.3964896104927021,0.5374449339207048,1,-0.852419180864363,2792.8139999999985,0.5353957761009189,0.6856677524429967,614,195,4,0.19779277392356565,0.18253532438808853,1957.6970000000047,197.67499999999905,0.0013733333333341147,0.6220423951107199,0.8873134803121769,0.03262103491320634,0.32833000000000157,1.0072747986820572,0.9450179210573297,0.7950821884878274
15.0,12.0,569.7100000000037,0.4023067050127149,0.6435331230283912,3,0.39823093300705814,651.694,0.3906314503326111,0.6924603174603174,504,195,3,198.30399999999918,0.39761480932448134,0.5374449339207048,1,-0.8507612604645581,967.6339999999987,0.48184849015519826,0.6791530944625407,614,195,4,0.19909560819975297,0.1650730241790717,1101.0770000000036,198.30399999999918,-0.04640666666666604,0.30288942176609424,0.5096638835826621,0.15816767194958548,0.2805500000000014,0.0760636705582236,0.28846646959499855,0.8166958924890284
25.0,12.0,567.4960000000042,0.40492236400471615,0.6419558359621451,3,0.3908060348100071,589.3520000000019,0.3872666655929384,0.6785714285714286,504,195,4,195.39999999999873,0.40643624809385553,0.5328185328185329,1,-0.8774226699742302,1809.3109999999992,0.5853442986708725,0.6677524429967426,614,195,4,0.1981321095373358,0.1943914817652693,1541.796000000008,195.39999999999873,0.06250000000000311,0.1905192156862805,0.05764234026741666,0.46841675138033234,0.3395633333333361,0.29597953561981893,0.394568886397056,1.4910967891165097
20.0,12.0,567.0230000000035,0.4100917571669726,0.6419558359621451,3,0.3829935204473299,668.8640000000012,0.38573878120497235,0.6845238095238095,504,195,4,199.75799999999913,0.39319801456874176,0.5346938775510204,1,-0.8374931604170269,1406.4439999999997,0.6398729162642743,0.6726384364820847,614,195,4,0.19951982229434503,0.19951982229434503,1551.9370000000067,199.75799999999913,0.015413333333335721,0.3129366038132284,0.37232467896147203,0.21863339552238759,0.2757033333333363,0.4054338652403531,0.49373739251684245,0.75051901563768
30.0,12.0,566.5650000000044,0.4095125237717518,0.6403785488958991,3,0.3829674317672177,511.9780000000005,0.48746416172647455,0.6726190476190477,504,195,4,199.49099999999908,0.39400907660435575,0.5346938775510204,1,-0.8399256055417349,1376.5619999999988,0.672712055758965,0.6628664495114006,614,195,4,0.19897824670317835,0.1621704898359649,1363.5110000000068,199.49099999999908,0.07696666666666951,0.19923241202142217,0.15660455272801754,0.14245611842780592,0.36169333333333564,0.44365349026212964,0.16315214737241046,1.0067613074776767
12.0,8.0,554.7390000000019,0.399763803926077,0.6309148264984227,3,0.3750341229080194,573.235000000001,0.3226589697617758,0.6765873015873016,504,195,2,190.38499999999863,0.41983916333241217,0.5328185328185329,1,-0.9215170074137312,1314.1139999999991,0.5379613184459505,0.6661237785016286,614,195,4,0.19668455403416438,0.19462021082234357,1228.2620000000047,190.38499999999863,-0.020693333333332897,0.3239128362923467,0.525202144206911,-0.03371345251038793,0.30626333333333444,0.48827316595173587,0.7370954163330281,0.2971037810157595
10.0,8.0,521.2680000000014,0.36366873114519827,0.6356466876971609,3,0.36152904318866724,559.5500000000006,0.3178091454653027,0.6805555555555556,504,195,2,186.7089999999987,0.43104105022260847,0.5328185328185329,1,-0.9561366373933514,1265.8459999999986,0.4877437750949143,0.6693811074918566,614,195,4,0.1998309430222035,0.1939756027185684,952.4810000000025,186.7089999999987,-0.02129999999999954,0.3292462790776898,0.4849595162447464,-0.03450953325856265,0.3056566666666678,0.46357516141302924,0.41440278538509934,0.5611423130902795
20.0,10.0,567.0270000000032,0.43332413694899496,0.637223974763407,3,0.3516368621042817,1105.347000000001,0.31582038080830366,0.6805555555555556,504,195,4,194.7709999999986,0.4053556490465378,0.5328185328185329,1,-0.8791880913794831,3146.4929999999986,0.5523840016269629,0.6693811074918566,614,195,4,0.199502639918683,0.18527216017148815,2316.7490000000053,194.7709999999986,0.07687666666666848,0.5239163878252884,0.6276920951980469,0.37936125049447944,0.3371666666666693,0.7329801819768178,0.8793457856541715,1.4083504465772125
8.0,8.0,487.15200000000095,0.32087139592493086,0.6419558359621451,3,0.35161733021971636,392.70300000000043,0.35982911788626065,0.6944444444444444,504,195,2,196.75299999999902,0.40068413870409814,0.5374449339207048,1,-0.8627569269491061,1344.1129999999985,0.4781546498089023,0.6807817589576547,614,195,4,0.19939359423154376,0.17427048740187784,759.9940000000015,196.75299999999902,-0.024366666666666537,0.31134305920940375,0.398330454357154,-0.2683048166304267,0.3025900000000008,0.42676001914134964,0.6180093086656666,0.48996079205155096
